uploadID,uploadRA,uploadDEC,uploadSearchID,objID,survey,specObjID,distance_arcmin,fov_radius,IAUName,ra,dec,band,nuv_exptime,fuv_exptime,fuv_mag,fuv_magerr,nuv_mag,nuv_magerr,fuv_flux,fuv_fluxerr,nuv_flux,nuv_fluxerr,e_bv,spectra,fuv_fwhm_world,nuv_fwhm_world,ra_cent,dec_cent,minObsDate,meanObsDate,maxObsDate,minObsMJD,meanObsMJD,maxObsMJD,tilename,tilenum,img,subvis,photoextractid,nuv_flux_auto,nuv_flux_aper_7,nuv_artifact,fuv_flux_auto,fuv_flux_aper_7,fuv_artifact
32743,75.7058,-49.1594,244,6385517274201069783,AIS,0,0.4934629826,0.4392232299,GALEX J050248.6-490905,75.70253915,-49.15145693,2,290,79,14.6721125,0.0182580389,-999,-999,4910.85449,82.56222,-999,-999,0.0106960442,FALSE,0.0009476998,-99,75.03528,-49.10385,11/18/2007,12/10/2007,1/1/2008,54422.4094,54444.6594,54466.91884,AIS_415,50415,1,4,6385517274198966272,-99,-99,1,45.61998367,46.42174911,0
41824,91.2025,-48.4586,281,6385411721084801816,AIS,0,0.3370419265,0.1836004704,GALEX J060446.5-482730,91.1940311,-48.45848811,2,112,112,17.1268864,0.0494209826,-999,-999,511.973145,23.298542,-999,-999,0.0473137461,FALSE,0.00152997149,-99,91.02593,-48.60449,12/7/2006,12/7/2006,12/7/2006,54076.33164,54076.33164,54076.33294,AIS_412,50412,1,4,6385411721082699776,-99,-99,2,4.756037235,4.809472561,0
41824,91.2025,-48.4586,281,6385411721083750879,AIS,0,0.3091516033,0.1844582856,GALEX J060446.7-482728,91.1948224,-48.45780949,1,112,112,-999,-999,12.5488062,0.003861313,-999,-999,34711.79,123.419037,0.0473137461,FALSE,-99,0.00353475567,91.02593,-48.60449,12/7/2006,12/7/2006,12/7/2006,54076.33164,54076.33164,54076.33294,AIS_412,50412,1,4,6385411721082699776,1029.146973,966.4648438,2,-99,-99,0
41700,91.1233,-45.0408,280,6385376610801944366,AIS,0,0.3501314707,0.07383541763,GALEX J060428.2-450211,91.11780662,-45.03644281,3,254,94,16.4723625,0.03790787,11.8560467,0.00189587718,935.5279,32.6554947,65702.36,114.699463,0.0626129,FALSE,0.00108298915,0.004812594,91.06076,-44.9746,11/27/2007,12/15/2007,1/2/2008,54431.37593,54449.58426,54467.86854,AIS_411,50411,1,73,6385376610798796800,1947.966064,1477.506592,2,8.690700531,8.881240845,0
38385,85.8742,-39.4058,270,6385376541007681115,AIS,0,0.3116214134,0.1957320124,GALEX J054329.3-392403,85.872226,-39.40083534,2,256,96,19.8552151,0.238663077,-999,-999,41.48734,9.1174,-999,-999,0.042777326,FALSE,0.00474812649,-99,85.63667,-39.47304,11/28/2007,12/15/2007,1/1/2008,54432.33733,54449.42066,54466.50199,AIS_411,50411,1,8,6385376541005578240,-99,-99,130,0.3854017258,0.3354418278,0
38385,85.8742,-39.4058,270,6385376541007681088,AIS,0,0.09393232279,0.196149841,GALEX J054330.1-392424,85.87573971,-39.40681763,2,256,96,14.1400852,0.0139363185,-999,-999,8016.18359,102.869324,-999,-999,0.042777326,FALSE,0.00118042831,-99,85.63667,-39.47304,11/28/2007,12/15/2007,1/1/2008,54432.33733,54449.42066,54466.50199,AIS_411,50411,1,8,6385376541005578240,-99,-99,130,74.46731567,75.41402435,0
38385,85.8742,-39.4058,270,6385376541006628825,AIS,0,0.179287162,0.1980432421,GALEX J054330.7-392422,85.87803876,-39.40616219,1,256,96,-999,-999,11.5965223,0.00170556013,-999,-999,83443.13,131.047211,0.042777326,FALSE,-99,0.0101211043,85.63667,-39.47304,11/28/2007,12/15/2007,1/1/2008,54432.33733,54449.42066,54466.50199,AIS_411,50411,1,8,6385376541005578240,2473.950439,1287.117188,130,-99,-99,0
52362,104.678,-45.7711,333,6385341430722725932,AIS,0,0.3902602179,0.5419665575,GALEX J065841.4-454556,104.6728047,-45.76569883,1,97.1,0,-999,-999,11.3087893,0.00245708926,-999,-999,108763.7,246.0793,0.09297791,FALSE,-99,0.06923447,105.25699,-46.12448,12/19/2011,12/19/2011,12/19/2011,55914.56872,55914.56872,55914.56984,AIS_410,50410,1,77,6385341430721675264,3224.66333,362.3551331,1,-99,-99,-999
59466,112.106,-37.8056,351,6385271014733908909,AIS,0,0.468013395,0.5864318013,GALEX J072823.4-374834,112.0975352,-37.80961461,1,111,0,-999,-999,11.7043648,0.00354033313,-999,-999,75553.36,246.302078,0.2850694,FALSE,-99,0.0226727314,112.66104,-38.19267,12/29/2011,12/29/2011,12/29/2011,55924.0699,55924.0699,55924.07118,AIS_408,50408,1,33,6385271014732857344,2240.031738,393.2807922,1,-99,-99,-999
59466,112.106,-37.8056,351,6385271006143972644,AIS,0,0.3959439304,0.5042287111,GALEX J072823.6-374831,112.098655,-37.80874184,1,102.3,0,-999,-999,11.5009308,0.003091052,-999,-999,91122.875,259.360535,0.27829513,FALSE,-99,0.02538678,111.49824,-37.98122,12/29/2011,12/29/2011,12/29/2011,55924.06826,55924.06826,55924.06944,AIS_408,50408,1,25,6385271006142922752,2701.64209,461.0256958,17,-99,-99,-999
7259,18.105,-30.8022,43,6385235830362870289,AIS,0,0.3980095231,0.3404195905,GALEX J011223.3-304807,18.09727716,-30.80217944,2,144,144,15.9096394,0.026835097,-999,-999,1570.892,38.81679,-999,-999,0.02292828,FALSE,0.00107098289,-99,18.02367,-30.4677,11/10/2007,11/10/2007,11/10/2007,54414.52256,54414.52256,54414.52422,AIS_407,50407,1,33,6385235830360768512,-99,-99,0,14.59299278,14.9584589,0
7259,18.105,-30.8022,43,6385235830361817287,AIS,0,0.3725835702,0.341281563,GALEX J011223.4-304810,18.09782584,-30.80296724,1,144,144,-999,-999,12.4314184,0.00297757587,-999,-999,38675.1875,106.038963,0.02292828,FALSE,-99,0.01325852,18.02367,-30.4677,11/10/2007,11/10/2007,11/10/2007,54414.52256,54414.52256,54414.52422,AIS_407,50407,1,33,6385235830360768512,1146.655151,735.8648682,0,-99,-99,0
19545,46.9412,-27.8161,136,6385165447660049804,AIS,0,0.4691467868,0.5806697607,GALEX J030744.4-274837,46.93523353,-27.81033026,2,224,224,20.6714249,0.239198849,-999,-999,19.562849,4.30885,-999,-999,0.014004427,FALSE,0.005919588,-99,46.61166,-27.30546,11/6/2006,11/19/2006,12/3/2006,54045.04556,54058.71222,54072.43759,AIS_405,50405,1,20,6385165447657947136,-99,-99,0,0.1817314774,0.1416517496,0
18692,44.8954,-25.285,132,6385165434775147581,AIS,0,0.2113920687,0.5352453589,GALEX J025935.1-251653,44.89643439,-25.28160321,2,177,177,20.2120171,0.186004013,-999,-999,29.86726,5.11549759,-999,-999,0.0197256934,FALSE,0.004815177,-99,44.35734,-25.06151,11/6/2006,11/19/2006,12/3/2006,54045.03903,54058.74736,54072.43258,AIS_405,50405,1,8,6385165434773045248,-99,-99,0,0.2774555683,0.242446512,0
18692,44.8954,-25.285,132,6385165433701406149,AIS,0,0.1083342533,0.4836526513,GALEX J025935.3-251705,44.89739452,-25.28491215,2,172,172,20.3072433,0.201560274,-999,-999,27.3592567,5.07784462,-999,-999,0.0197256934,FALSE,0.004564979,-99,45.43179,-25.26488,11/6/2006,11/19/2006,12/3/2006,54045.04065,54058.74898,54072.4337,AIS_405,50405,1,7,6385165433699303424,-99,-99,1,0.2541571558,0.2313815951,0
20766,49.3617,-62.6022,146,6385130277245553276,AIS,0,0.1593632729,0.3363742828,GALEX J031727.8-623614,49.36593027,-62.60400707,1,86.05,0,-999,-999,21.4327965,0.32017082,-999,-999,9.702436,2.8604393,0.0272157043,FALSE,-99,0.002179159,48.73683,-62.77676,10/24/2011,10/24/2011,10/24/2011,55858.43201,55858.43201,55858.43301,AIS_404,50404,1,33,6385130277244502016,0.287661165,0.3094308376,0,-99,-99,-999
10800,24.4392,-82.9775,73,6385059976148160390,AIS,0,0.3561930048,0.554553628,GALEX J013755.7-825829,24.48237346,-82.97478505,2,111,111,17.1678677,0.0584007,-999,-999,493.008728,26.512022,-999,-999,0.154279828,FALSE,0.00110908272,-99,28.69744,-82.78809,5/2/2007,5/2/2007,5/2/2007,54222.45409,54222.45409,54222.45537,AIS_402,50402,1,96,6385059976146059264,-99,-99,1,4.579864979,4.715483189,0
10800,24.4392,-82.9775,73,6385059976147108361,AIS,0,0.293422295,0.5556283593,GALEX J013753.7-825830,24.47387787,-82.9750639,1,111,111,-999,-999,12.9479446,0.00451174751,-999,-999,24033.7578,99.847374,0.154279828,FALSE,-99,0.008504807,28.69744,-82.78809,5/2/2007,5/2/2007,5/2/2007,54222.45409,54222.45409,54222.45537,AIS_402,50402,1,96,6385059976146059264,712.5610962,328.5299377,1,-99,-99,0
12363,28.9421,-78.3628,86,6384919230069870765,AIS,0,0.4065376634,0.5363123417,GALEX J015546.5-782121,28.94385644,-78.35603365,2,104,104,20.3591957,0.287286252,-999,-999,26.0809841,6.89936352,-999,-999,0.07150691,FALSE,0.00416148128,-99,26.62534,-78.62755,5/3/2007,5/3/2007,5/3/2007,54223.47935,54223.47935,54223.48056,AIS_398,50398,1,88,6384919230067769344,-99,-99,128,0.2422824949,0.245733127,0
661,2.63917,-73.2267,4,6384919147391753320,AIS,0,0.4019771664,0.4134632945,GALEX J001038.6-731327,2.660932952,-73.22436865,2,192,192,14.4171982,0.010008256,-999,-999,6210.44238,57.23361,-999,-999,0.0321543366,FALSE,0.00131088868,-99,3.5503,-72.90214,8/4/2008,8/27/2008,9/19/2008,54682.40097,54705.48431,54728.6194,AIS_398,50398,1,11,6384919147389648896,-99,-99,0,57.6926651,58.09426498,0
661,2.63917,-73.2267,4,6384919147390697473,AIS,0,0.29075784,0.4162231982,GALEX J001037.4-731336,2.65596087,-73.22675974,1,192,192,-999,-999,12.269165,0.00249021128,-999,-999,44909.043,102.976982,0.0321543366,FALSE,-99,0.056692943,3.5503,-72.90214,8/4/2008,8/27/2008,9/19/2008,54682.40097,54705.48431,54728.6194,AIS_398,50398,1,11,6384919147389648896,1331.478638,408.2624512,0,-99,-99,0
5190,13.1004,-69.5064,30,6384884056435203260,AIS,0,0.4143877884,0.4726088643,GALEX J005228.2-693011,13.11766011,-69.50305665,2,215.05,215.05,19.82193,0.135505319,-999,-999,42.77896,5.33773232,-999,-999,0.0211976226,FALSE,0.00191297953,-99,14.05946,-69.84414,8/12/2007,8/13/2007,8/14/2007,54324.62943,54325.5461,54326.47949,AIS_397,50397,1,98,6384884056433098752,-99,-99,1,0.397400409,0.4133393764,0
5190,13.1004,-69.5064,30,6384884056435203247,AIS,0,0.1535270502,0.4758769274,GALEX J005224.4-693013,13.10166893,-69.50388008,2,215.05,215.05,17.407135,0.0435104333,-999,-999,395.501617,15.8457146,-999,-999,0.0211976226,FALSE,0.00164854433,-99,14.05946,-69.84414,8/12/2007,8/13/2007,8/14/2007,54324.62943,54325.5461,54326.47949,AIS_397,50397,1,98,6384884056433098752,-99,-99,1,3.674060583,3.730964422,0
5190,13.1004,-69.5064,30,6384884056434150996,AIS,0,0.2846114963,0.4766389132,GALEX J005225.0-693006,13.10449028,-69.50187784,1,215.05,215.05,-999,-999,12.4097195,0.00255886419,-999,-999,39455.918,92.96717,0.0211976226,FALSE,-99,0.03755827,14.05946,-69.84414,8/12/2007,8/13/2007,8/14/2007,54324.62943,54325.5461,54326.47949,AIS_397,50397,1,98,6384884056433098752,1169.802612,679.0494995,1,-99,-99,0
