HD, RA, DEC, Band, Far UV Calibrated Magnitude, Far UV Error, Apparent V Magnitude, B-V Color Index, Distance, X-Ray Luminosity, Bolometric Correction
219693, 349.55, -40.8203, 2, 14.6051, 0.00992148, 0, 0, 0, 0, 0
220096, 350.307, -26.9856, 3, 16.5512, 0.0257291, 0, 0, 0, 0, 0
220096, 350.307, -26.9856, 3, 16.5489, 0.0271597, 0, 0, 0, 0, 0
220117, 350.228, 38.1811, 3, 15.6215, 0.0166622, 0, 0, 0, 0, 0
220117, 350.228, 38.1811, 2, 15.5956, 0.0149505, 0, 0, 0, 0, 0
220242, 350.508, 26.6314, 2, 22.4424, 0.421869, 0, 0, 0, 0, 0
220729, 351.647, -52.7333, 2, 20.9658, 0.252373, 0, 0, 0, 0, 0
221970, 354.115, 32.9033, 2, 21.9974, 0.353569, 0, 0, 0, 0, 0
224758, 0.103333, 26.9233, 2, 16.8413, 0.0323235, 0, 0, 0, 0, 0
225233, 1.13958, -72.9097, 2, 20.7616, 0.283203, 0, 0, 0, 0, 0
