4614,12.205,57.8289,24,6372463871081319677,AIS,0,0.4770997935903234,0.295520544052124,GALEX J004846.5+575003,12.19398534170041,57.83427017721003,1,106.05,0,-999,-999,19.7158546,0.263348252,-999,-999,47.16915,11.4382248,0.299397737,false,-99,0.00535086077,12.62108,57.64622,2011-11-03,2011-11-03,2011-11-03,55868.357488425929,55868.357488425929,55868.358715277776,AIS_44,50044,1,3,6372463871080267776,1.3984870910644531,1.3267024755477905,2,-99,-99,-999
4614,12.205,57.8289,24,6372463871081319645,AIS,0,0.49060279757764186,0.289606511592865,GALEX J004846.2+574926,12.192766991070121,57.823957562764761,1,106.05,0,-999,-999,20.661087,0.401824057,-999,-999,19.7499,7.307537,0.299397737,false,-99,0.00519825425,12.62108,57.64622,2011-11-03,2011-11-03,2011-11-03,55868.357488425929,55868.357488425929,55868.358715277776,AIS_44,50044,1,3,6372463871080267776,0.58555179834365845,1.0809887647628784,2,-99,-99,-999
4628,12.0654,5.3125,25,6380239640937367395,AIS,0,0.42446165081635578,0.27990955114364624,GALEX J004817.3+051849,12.072391198897961,5.3137604822897906,3,216,216,22.4787655,0.449280083,22.733202,0.390851676,3.7025044,1.53173256,2.92899561,1.05414617,0.02610396,false,0.0024205856,0.002384171,12.32777,5.43083,2006-10-27,2006-10-28,2006-10-30,54035.579710648148,54036.954710648148,54038.319745370369,AIS_265,50265,1,25,6380239640934219776,0.086839862167835236,0.051824729889631271,0,0.034394867718219757,0.01070733554661274,256
4628,12.0654,5.3125,25,6380239640937367409,AIS,0,0.11907380090241232,0.28557536005973816,GALEX J004816.1+051841,12.067149384683351,5.311549013635072,3,216,216,19.9251137,0.128280342,19.7780323,0.0810984746,38.9006271,4.595015,44.5437737,3.32636476,0.02610396,false,0.00126042787,0.00175341743,12.32777,5.43083,2006-10-27,2006-10-28,2006-10-30,54035.579710648148,54036.954710648148,54038.319745370369,AIS_265,50265,1,25,6380239640934219776,1.3206490278244019,1.3392336368560791,0,0.36137214303016663,0.36899539828300476,0
4676,12.2392,16.9456,26,6380943362737836215,AIS,0,0.45320097289314348,0.6035805344581604,GALEX J004857.5+165711,12.23997212224292,16.953117152648481,2,220,220,22.2615318,0.59138906,-999,-999,4.522612,2.46282077,-999,-999,0.112597927,false,0.002282681,-99,12.48391,17.50992,2006-10-26,2006-10-28,2006-10-29,54034.68953703704,54036.231203703705,54037.771932870368,AIS_285,50285,1,57,6380943362735734784,-99,-99,185,0.042013358324766159,0.01338438130915165,32
4676,12.2392,16.9456,26,6380943363811578299,AIS,0,0.44483710450696956,0.49220511317253113,GALEX J004858.7+165625,12.244621815443169,16.940302163885239,2,217,217,16.11383,0.0216090381,-999,-999,1301.57642,25.89854,-999,-999,0.11919336,false,0.00121478888,-99,12.05952,16.48113,2006-10-26,2006-10-28,2006-10-29,54034.69125,54036.232916666668,54037.773599537039,AIS_285,50285,1,58,6380943363809476608,-99,-99,1,12.091153144836426,12.26219367980957,0
4676,12.2392,16.9456,26,6380943363810527779,AIS,0,0.39810633244232785,0.49478846788406372,GALEX J004858.9+165633,12.24546814566423,16.94275885083627,1,217,217,-999,-999,11.88423,0.00187851873,-999,-999,64018.83,110.737167,0.11919336,false,-99,0.0189785436,12.05952,16.48113,2006-10-26,2006-10-28,2006-10-29,54034.69125,54036.232916666668,54037.773599537039,AIS_285,50285,1,58,6380943363809476608,1898.0521240234375,525.05340576171875,1,-99,-99,0
4813,12.5337,-10.6383,27,6380450734282899457,AIS,0,0.473020206790213,0.6682732105255127,GALEX J005007.6-103845,12.53189479196004,-10.6459814463201,1,210,210,-999,-999,11.7894878,0.00190070714,-999,-999,69856.09,122.26149,0.0346770063,false,-99,0.015144987,11.99713,-10.23366,2006-10-09,2006-10-31,2006-11-22,54017.5803125,54039.663645833331,54061.747199074074,AIS_271,50271,1,13,6380450734281850880,2071.117431640625,665.865478515625,32,-99,-99,32
4813,12.5337,-10.6383,27,6380450734283953459,AIS,0,0.41124236581659962,0.6669037938117981,GALEX J005007.4-103840,12.5311591270433,-10.6446829440648,2,210,210,16.0040627,0.0211817864,-999,-999,1440.04858,28.0872936,-999,-999,0.0346770063,false,0.001208263,-99,11.99713,-10.23366,2006-10-09,2006-10-31,2006-11-22,54017.5803125,54039.663645833331,54061.747199074074,AIS_271,50271,1,13,6380450734281850880,-99,-99,32,13.377507209777832,13.525971412658691,32
4813,12.5337,-10.6383,27,6380450743948676287,AIS,0,0.38302280563658125,0.40337854623794556,GALEX J005007.4-103838,12.53110333522868,-10.644151414012139,3,197,197,16.0054951,0.02191922,11.8856993,0.00141518435,1438.15015,29.026823,63932.25,83.31116,0.0346770063,false,0.0011847961,0.01422194,12.50586,-11.04677,2006-10-09,2006-10-31,2006-11-22,54017.578657407408,54039.661990740744,54061.745428240742,AIS_271,50271,1,22,6380450743945527296,1895.4852294921875,585.1912841796875,17,13.359871864318848,13.573420524597168,256
5015,13.2721,61.1103,28,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
5156,13.2987,-24.7733,29,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
5190,13.1004,-69.5064,30,6384884048919009537,AIS,0,0.4200282743148564,0.563391923904419,GALEX J005228.3-693010,13.11790804349538,-69.503019394097777,2,214,214,19.8491478,0.12609151,-999,-999,41.71983,4.843938,-999,-999,0.0211976226,false,0.00273893983,-99,11.85351,-69.15914,2007-08-12,2007-08-13,2007-08-14,54324.626168981478,54325.54283564815,54326.476215277777,AIS_397,50397,1,91,6384884048916905984,-99,-99,1,0.38756147027015686,0.4047626256942749,0
5190,13.1004,-69.5064,30,6384884048917954816,AIS,0,0.23095764173768402,0.56024801731109619,GALEX J005225.5-693011,13.10633725371658,-69.503160304062831,1,214,214,-999,-999,13.0439634,0.00330424355,-999,-999,21999.57,66.9354858,0.0211976226,false,-99,0.009836544,11.85351,-69.15914,2007-08-12,2007-08-13,2007-08-14,54324.626168981478,54325.54283564815,54326.476215277777,AIS_397,50397,1,91,6384884048916905984,652.25079345703125,268.30203247070312,1,-99,-99,0
5190,13.1004,-69.5064,30,6384884048919009531,AIS,0,0.16465062042218076,0.5594477653503418,GALEX J005224.5-693013,13.10221792093532,-69.503730659868225,2,214,214,17.674654,0.0447183177,-999,-999,309.129547,12.7290554,-999,-999,0.0211976226,false,0.00111121184,-99,11.85351,-69.15914,2007-08-12,2007-08-13,2007-08-14,54324.626168981478,54325.54283564815,54326.476215277777,AIS_397,50397,1,91,6384884048916905984,-99,-99,1,2.8716967105865479,2.9232394695281982,0
5190,13.1004,-69.5064,30,6384884056434150996,AIS,0,0.28461149625188786,0.47663891315460205,GALEX J005225.0-693006,13.1044902773075,-69.501877840987831,1,215.05,215.05,-999,-999,12.4097195,0.00255886419,-999,-999,39455.918,92.96717,0.0211976226,false,-99,0.03755827,14.05946,-69.84414,2007-08-12,2007-08-13,2007-08-14,54324.629432870373,54325.546099537038,54326.479490740741,AIS_397,50397,1,98,6384884056433098752,1169.8026123046875,679.04949951171875,1,-99,-99,0
5190,13.1004,-69.5064,30,6384884056435203260,AIS,0,0.41438778841985463,0.47260886430740356,GALEX J005228.2-693011,13.117660108801131,-69.503056654285814,2,215.05,215.05,19.82193,0.135505319,-999,-999,42.77896,5.33773232,-999,-999,0.0211976226,false,0.00191297953,-99,14.05946,-69.84414,2007-08-12,2007-08-13,2007-08-14,54324.629432870373,54325.546099537038,54326.479490740741,AIS_397,50397,1,98,6384884056433098752,-99,-99,1,0.39740040898323059,0.41333937644958496,0
5190,13.1004,-69.5064,30,6384884056435203247,AIS,0,0.15352705020558802,0.47587692737579346,GALEX J005224.4-693013,13.101668926564921,-69.503880081155572,2,215.05,215.05,17.407135,0.0435104333,-999,-999,395.501617,15.8457146,-999,-999,0.0211976226,false,0.00164854433,-99,14.05946,-69.84414,2007-08-12,2007-08-13,2007-08-14,54324.629432870373,54325.546099537038,54326.479490740741,AIS_397,50397,1,98,6384884056433098752,-99,-99,1,3.674060583114624,3.7309644222259521,0
6210,16.0746,61.6036,31,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
